Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,8,0.9099999999999999,0.61,0.5242076746655109
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.5257022530955291
100% Corpus,8,0.9099999999999999,symmetric,0.5238350008628949
100% Corpus,8,symmetric,0.01,0.5120787018111896
100% Corpus,8,symmetric,0.31,0.5154070198484572
100% Corpus,8,symmetric,0.61,0.5153873379638974
100% Corpus,8,symmetric,0.9099999999999999,0.5284058668055591
100% Corpus,8,symmetric,symmetric,0.5120620937887204
100% Corpus,8,asymmetric,0.01,0.5186066772442848
100% Corpus,8,asymmetric,0.31,0.5257354615119302
100% Corpus,8,asymmetric,0.61,0.5288991381723613
100% Corpus,8,asymmetric,0.9099999999999999,0.5229388321328147
100% Corpus,8,asymmetric,symmetric,0.5175961086649348
100% Corpus,9,0.01,0.01,0.5205969172342055
100% Corpus,9,0.01,0.31,0.5202275830792079
100% Corpus,9,0.01,0.61,0.5137115667482117
100% Corpus,9,0.01,0.9099999999999999,0.540412051074706
100% Corpus,9,0.01,symmetric,0.5172699074310538
100% Corpus,9,0.31,0.01,0.5159711368609973
